#$name,$network,$comentario
exchange_1,13.107.6.152/31,
exchange_2,13.107.9.152/31,
exchange_3,13.107.18.10/31,
exchange_4,13.107.19.10/31,
exchange_5,23.103.160.0/20,
exchange_6,23.103.224.0/19,
exchange_7,40.96.0.0/13,
exchange_8,40.104.0.0/15,
exchange_9,70.37.151.128/25,
exchange_10,111.221.112.0/21,
exchange_11,131.253.33.215/32,
exchange_12,132.245.0.0/16,
exchange_13,134.170.68.0/23,
exchange_14,157.56.96.16/28,
exchange_15,157.56.96.224/28,
exchange_16,157.56.106.128/28,
exchange_17,157.56.232.0/21,
exchange_18,157.56.240.0/20,
exchange_19,191.232.96.0/19,
exchange_20,191.234.6.152/32,
exchange_21,191.234.140.0/22,
exchange_22,191.234.224.0/22,
exchange_23,204.79.197.215/32,
exchange_24,206.191.224.0/19,
exchange_25,207.46.150.128/25,
exchange_26,207.46.203.128/26,
