#$name,$network,$comentario
office_auht1,13.67.50.224/29,
office_auht2,13.71.201.64/26,
office_auht3,13.106.4.128/25,
office_auht4,13.75.48.16/29,
office_auht5,13.75.80.16/29,
office_auht6,13.106.56.0/25,
office_auht7,23.100.16.168/29,
office_auht8,23.100.32.136/29,
office_auht9,23.100.64.24/29,
office_auht10,23.100.72.32/29,
office_auht11,23.100.80.64/29,
office_auht12,23.100.88.32/29,
office_auht13,23.100.101.112/28,
office_auht14,23.100.104.16/28,
office_auht15,23.100.112.64/29,
office_auht16,23.100.120.64/29,
office_auht17,23.101.5.104/29,
office_auht18,23.101.144.136/29,
office_auht19,23.101.165.168/29,
office_auht20,23.101.181.128/29,
office_auht21,23.101.210.24/29,
office_auht22,23.101.222.240/28,
office_auht23,23.101.224.16/29,
office_auht24,23.101.226.16/28,
office_auht25,40.112.64.16/28,
office_auht26,40.113.192.16/29,
office_auht27,40.114.120.16/29,
office_auht28,40.115.152.16/28,
office_auht29,40.127.67.24/29,
office_auht30,52.125.0.0/17,
office_auht31,52.172.144.16/28,
office_auht32,65.52.1.16/29,
office_auht33,65.52.193.136/29,
office_auht34,65.54.170.128/25,
office_auht35,70.37.128.0/23,
office_auht36,104.40.240.48/28,
office_auht37,104.41.13.120/29,
office_auht38,104.41.216.16/28,
office_auht39,104.42.72.16/29,
office_auht40,104.43.208.16/29,
office_auht41,104.43.240.16/29,
office_auht42,104.44.218.128/25,
office_auht43,104.44.254.128/25,
office_auht44,104.44.255.0/25,
office_auht45,104.45.0.16/28,
office_auht46,104.45.208.104/29,
office_auht47,104.46.112.8/29,
office_auht48,104.46.224.64/28,
office_auht49,104.209.144.16/29,
office_auht50,104.210.48.8/29,
office_auht51,104.210.83.160/29,
office_auht52,104.210.208.16/29,
office_auht53,104.211.16.16/29,
office_auht54,104.211.48.16/29,
office_auht55,104.211.88.16/28,
office_auht56,104.211.98.138/32,
office_auht57,104.211.98.146/32,
office_auht58,104.211.98.246/32,
office_auht59,104.211.99.236/32,
office_auht60,104.211.100.160/32,
office_auht61,104.211.100.204/32,
office_auht62,104.211.102.225/32,
office_auht63,104.211.152.32/27,
office_auht64,104.211.161.150/32,
office_auht65,104.211.161.165/32,
office_auht66,104.211.161.185/32,
office_auht67,104.211.162.33/32,
office_auht68,104.211.165.35/32,
office_auht69,104.211.166.139/32,
office_auht70,104.211.216.32/27,
office_auht71,104.211.224.118/32,
office_auht72,104.211.225.135/32,
office_auht73,104.211.227.110/32,
office_auht74,104.211.231.147/32,
office_auht75,104.211.231.248/32,
office_auht76,104.215.96.24/29,
office_auht77,104.215.144.64/29,
office_auht78,104.215.184.16/29,
office_auht79,131.253.120.128/32,
office_auht80,132.245.165.0/25,
office_auht81,134.170.67.0/25,
office_auht82,134.170.172.128/25,
office_auht83,157.55.45.128/25,
office_auht84,157.55.59.128/25,
office_auht85,157.55.130.0/25,
office_auht86,157.55.145.0/25,
office_auht87,157.55.155.0/25,
office_auht88,157.55.227.192/26,
office_auht89,157.56.53.128/25,
office_auht90,157.56.55.0/25,
office_auht91,157.56.58.0/25,
office_auht92,157.56.151.0/25,
office_auht93,191.232.2.128/25,
office_auht94,191.237.248.32/29,
office_auht95,191.237.252.192/28,
