#$name,$network,$comentario
office_portal_1,13.65.240.22/32,
office_portal_2,13.66.58.59/32,
office_portal_3,13.70.156.206/32,
office_portal_4,13.71.145.114/32,
office_portal_5,13.71.145.122/32,
office_portal_6,13.75.149.223/32,
office_portal_7,13.71.151.88/32,
office_portal_8,13.78.120.69/32,
office_portal_9,13.78.120.70/32,
office_portal_10,13.78.120.99/32,
office_portal_11,13.78.122.54/32,
office_portal_12,13.84.216.209/32,
office_portal_13,13.84.219.100/32,
office_portal_14,13.84.222.249/32,
office_portal_15,13.87.36.128/32,
office_portal_16,13.88.17.54/32,
office_portal_17,13.92.181.66/32,
office_portal_18,13.92.236.241/32,
office_portal_19,13.93.164.45/32,
office_portal_20,13.107.6.156/31,
office_portal_21,13.107.7.190/31,
office_portal_22,13.107.9.156/31,
office_portal_23,23.96.32.105/32,
office_portal_24,23.96.251.50/32,
office_portal_25,23.96.253.65/32,
office_portal_26,23.97.66.55/32,
office_portal_27,23.97.78.94/32,
office_portal_28,23.99.121.16/32,
office_portal_29,23.99.125.4/32,
office_portal_30,40.71.88.196/32,
office_portal_31,40.83.120.174/32,
office_portal_32,40.83.185.155/32,
office_portal_33,40.83.185.230/32,
office_portal_34,40.84.145.72/32,
office_portal_35,40.112.187.89/32,
office_portal_36,40.117.96.104/32,
office_portal_37,40.117.100.187/32,
office_portal_38,40.117.229.133/32,
office_portal_39,40.117.229.194/32,
office_portal_40,51.140.45.81/32,
office_portal_41,51.140.226.217/32,
office_portal_42,51.142.213.184/32,
office_portal_43,52.163.58.153/32,
office_portal_44,52.163.93.38/32,
office_portal_45,52.172.49.206/32,
office_portal_46,52.175.154.183/32,
office_portal_47,52.175.158.8/32,
office_portal_48,52.178.27.129/32,
office_portal_49,52.178.144.25/32,
office_portal_50,52.178.146.3/32,
office_portal_51,52.178.146.67/32,
office_portal_52,52.178.150.186/32,
office_portal_53,52.185.154.106/32,
office_portal_54,52.187.42.197/32,
